chart_rank,track_name,artist,daily_streams,country,scrape_date
1,"Gehra Hua (w/ Arijit Singh, Irshad Kamil, Armaan Khan)",Shashwat Sachdev,0,India,2026-02-17
2,Sahiba,Aditya Rikhari,0,India,2026-02-17
3,"Samjhawan (w/ Shaarib Toshi, Arijit Singh, Shreya Ghoshal)",Jawad Ahmad,0,India,2026-02-17
4,Shiv Tandav Stotram,Shankar Mahadevan,0,India,2026-02-17
5,"Dooron Dooron (w/ Shiv Tandan, Meghdeep Bose)",Paresh Pahuja,0,India,2026-02-17
6,Finding Her (w/ Bharath),Kushagra,0,India,2026-02-17
7,Arz Kiya Hai | Coke Studio Bharat,Anuv Jain,0,India,2026-02-17
8,"Apna Bana Le (w/ Arijit Singh, Amitabh Bhattacharya)",Sachin-Jigar,0,India,2026-02-17
9,Namo Namo,Amit Trivedi,0,India,2026-02-17
10,"Shararat (w/ Madhubanti Bagchi, Jasmine Sandlas)",Shashwat Sachdev,0,India,2026-02-17
11,For A Reason (w/ Ikky),Karan Aujla,0,India,2026-02-17
12,Khat,Navjot Ahuja,0,India,2026-02-17
13,Ishq (w/ Rauhan Malik),Faheem Abdullah,0,India,2026-02-17
14,"Saiyaara (w/ Faheem Abdullah, Arslan Nizami, Irshad Kamil)",Tanishk Bagchi,0,India,2026-02-17
15,"Haseen (w/ NDS, Rippy Grewal)",Talwiinder,0,India,2026-02-17
16,Mann Mera,Gajendra Verma,0,India,2026-02-17
17,"KALYANI (w/ KDS, FIFTY4, RONN)",ARJN,0,India,2026-02-17
18,"Parvati Boli Shankar Se (w/ Bharat Kamal, Ravi Chopra)",Hansraj Raghuwanshi,0,India,2026-02-17
19,Jo Tum Mere Ho,Anuv Jain,0,India,2026-02-17
20,"Dhurandhar - Title Track (w/ Hanumankind, Jasmine Sandlas, Sudhir Yaduvanshi, Charanjit Ahuja, Muhammad Sadiq, Ranjit Kaur, Babu Singh Maan)",Shashwat Sachdev,0,India,2026-02-17
21,"Raanjhan (From ""Do Patti"") (w/ Parampara Tandon, Kausar Munir)",Sachet-Parampara,0,India,2026-02-17
22,Ishqa Ve,Zeeshan Ali,0,India,2026-02-17
23,Tere Liye (w/ Shreya Ghoshal),Atif Aslam,0,India,2026-02-17
24,"Dil Lagana Mana Tha (w/ Kishore Mondal, Devv Sadaana, Kunaal Vermaa)",Krish Mondal,0,India,2026-02-17
25,"Teri Deewani (w/ Paresh Kamath, Naresh Kamath)",Kailash Kher,0,India,2026-02-17
26,Laagi Lagan Shankara,Hansraj Raghuwanshi,0,India,2026-02-17
27,"Ishq Jalakar - Karvaan (w/ Shahzad Ali, Subhadeep Das Chowdhury, Armaan Khan, Irshad Kamil, Roshan, Sahir Ludhianvi)",Shashwat Sachdev,0,India,2026-02-17
28,"Tere Bina (w/ Chinmayi, Murtuza Khan, Qadir Khan, Abhishek Bachchan, Aishwarya Rai Bachchan, R. Madhavan, Vidya Balan, Mithun Chakraborty, Arya Babbar)",A.R. Rahman,0,India,2026-02-17
29,Boyfriend (w/ Ikky),Karan Aujla,0,India,2026-02-17
30,"Agar Tum Saath Ho (From ""Tamasha"") (w/ Arijit Singh)",Alka Yagnik,0,India,2026-02-17
31,"Sitaare (From ""Ikkis"") (w/ White Noise Collectives, Amitabh Bhattacharya)",Arijit Singh,0,India,2026-02-17
32,Lutt Le Gaya (w/ Simran Choudhary),Shashwat Sachdev,0,India,2026-02-17
33,"Bam Lahiri (w/ Paresh Kamath, Naresh Kamath)",Kailash Kher,0,India,2026-02-17
34,Ye Tune Kya Kiya (w/ Javed Bashir),Pritam,0,India,2026-02-17
35,Sheesha (w/ Swara Verma),Mitta Ror,0,India,2026-02-17
36,"Oorum Blood (w/ Paal Dabba, Bhumi, Deepthi Suresh)",Sai Abhyankkar,0,India,2026-02-17
37,Zaalima (w/ Harshdeep Kaur),Arijit Singh,0,India,2026-02-17
38,Not Guilty,Dhanda Nyoliwala,0,India,2026-02-17
39,"Ehsaas (w/ Duha Shah, Vaibhav Pani, Hyder Dar)",Faheem Abdullah,0,India,2026-02-17
40,"Tum Ho Toh (From ""Saiyaara"") (w/ Hansika Pareek, Raj Shekhar)",Vishal Mishra,0,India,2026-02-17
41,Thodi Si Daaru (w/ Shreya Ghoshal),AP Dhillon,0,India,2026-02-17
42,Shiv Kailasho Ke Vasi,Hansraj Raghuwanshi,0,India,2026-02-17
43,Kithe Reh Gaya (w/ Abhijit Vaghani),Neeti Mohan,0,India,2026-02-17
44,"Barbaad (From ""Saiyaara"") (w/ Jubin Nautiyal)",The Rish,0,India,2026-02-17
45,"Jhol - Acoustic (w/ Annural Khalid, Abdullah Siddiqui)",Maanu,0,India,2026-02-17
46,"Naal Nachna (w/ Afsana Khan, Irshad Kamil, Reble)",Shashwat Sachdev,0,India,2026-02-17
47,"Ucha Lamba Kad (w/ Kalpana Patowary, Chorus)",Anand Raj Anand,0,India,2026-02-17
48,Mann Mera - Original Version,Gajendra Verma,0,India,2026-02-17
49,"Humdard (From ""Ek Villain"")",Arijit Singh,0,India,2026-02-17
50,High On You,Jind Universe,0,India,2026-02-17
51,Tum Hi Ho (w/ Arijit Singh),Mithoon,0,India,2026-02-17
52,"Dhun (From ""Saiyaara"") (w/ Arijit Singh)",Mithoon,0,India,2026-02-17
53,"Mast Magan (From ""2 States) (w/ Chinmayi)",Arijit Singh,0,India,2026-02-17
54,"Aakh Ye Taalibaani (w/ Bali Sharma, Vampire)",Manish Sonipat Aala,0,India,2026-02-17
55,Shiv Sama Rahe,Hansraj Raghuwanshi,0,India,2026-02-17
56,Paro (w/ UNPLG'd),Aditya Rikhari,0,India,2026-02-17
57,Afsos (w/ AP Dhillon),Anuv Jain,0,India,2026-02-17
58,Namami Shamishan,Religious India,0,India,2026-02-17
59,"Darkhaast (w/ Arijit Singh, Sunidhi Chauhan)",Mithoon,0,India,2026-02-17
60,"Financer (w/ Bamboo Beat, Pranjal Dahiya, Shiva Choudhary)",Bintu Pabra,0,India,2026-02-17
61,"bargad (w/ Arpit Bala, toorjo dey)",sufr,0,India,2026-02-17
62,Jeena Jeena (w/ Atif Aslam),Sachin-Jigar,0,India,2026-02-17
63,"Kashish (w/ Omkar Singh, Kashish Ratnani)",Ashish Bhatia,0,India,2026-02-17
64,"Humsafar (From ""Badrinath Ki Dulhania"") (w/ Mansheel Gujral)",Akhil Sachdeva,0,India,2026-02-17
65,Khayaal (w/ NDS),Talwiinder,0,India,2026-02-17
66,"Raanjhanaa (w/ Jaswinder Singh, Shiraz Uppal)",A.R. Rahman,0,India,2026-02-17
67,Raabta (w/ Arijit Singh),Pritam,0,India,2026-02-17
68,Ranjheya Ve,Zain Zohaib,0,India,2026-02-17
69,"Humsafar (From ""Saiyaara"") (w/ Sachet Tandon, Parampara Tandon, Irshad Kamil, Prashant Pandey)",Sachet-Parampara,0,India,2026-02-17
70,"Deewaniyat (From ""Ek Deewane Ki Deewaniyat"") (Original Motion Picture Soundtrack) (w/ Kaushik-Guddu, Kunaal Vermaa)",Vishal Mishra,0,India,2026-02-17
71,Jaikal Mahakal,Amit Trivedi,0,India,2026-02-17
72,"Saiyyan (w/ Paresh Kamath, Naresh Kamath)",Kailash Kher,0,India,2026-02-17
73,"Aawaara Angaara (w/ Faheem Abdullah, Irshad Kamil)",A.R. Rahman,0,India,2026-02-17
74,Gal Sun (w/ Rackstar),Sabat Batin,0,India,2026-02-17
75,"Jeene Laga Hoon (w/ Shreya Ghoshal, Sachin-Jigar)",Atif Aslam,0,India,2026-02-17
76,Dil Diyan Gallan,Atif Aslam,0,India,2026-02-17
77,Mera Bhola Hai Bhandari (w/ Suresh Verma),Hansraj Raghuwanshi,0,India,2026-02-17
78,"Ishq Bulaava (w/ Sanam Puri, Shipra Goyal)",Vishal-Shekhar,0,India,2026-02-17
79,Husn,Anuv Jain,0,India,2026-02-17
80,Naam Chale,Vikram Sarkar,0,India,2026-02-17
81,Zara Sa (w/ KK),Pritam,0,India,2026-02-17
82,"Kaise Hua (From ""Kabir Singh"")",Vishal Mishra,0,India,2026-02-17
83,Hopeless (w/ Prem Lata),Amanraj Gill,0,India,2026-02-17
84,Tera Chehra (w/ Arijit Singh),Himesh Reshammiya,0,India,2026-02-17
85,Raat Ke Shikari,Masoom Sharma,0,India,2026-02-17
86,Deewaana Deewaana (w/ Irshad Kamil),A.R. Rahman,0,India,2026-02-17
87,"Chahun Main Ya Naa (From ""Aashiqui 2"") (w/ Arijit Singh)",Palak Muchhal,0,India,2026-02-17
88,Jo Tere Sang (w/ Mustafa Zahid),Jeet Gannguli,0,India,2026-02-17
89,Paaro,Aditya Rikhari,0,India,2026-02-17
90,Hale Dil,Harshit Saxena,0,India,2026-02-17
91,"Sahiba (w/ Stebin Ben, Vijay Deverakonda, Radhikka Madan, Priya Saraiya, Aditya Sharma)",Jasleen Royal,0,India,2026-02-17
92,FA9LA,Flipperachi,0,India,2026-02-17
93,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"") (w/ Mithoon)",Arijit Singh,0,India,2026-02-17
94,Sang Rahiyo,Jasleen Royal,0,India,2026-02-17
95,Russian Bandana,Dhanda Nyoliwala,0,India,2026-02-17
96,Bholenath - A Love Story,Kaka,0,India,2026-02-17
97,Pehli Dafa (w/ Shiraz Uppal),Atif Aslam,0,India,2026-02-17
98,"Vaaroon (w/ Romy, Ginny Diwan)",Anand Bhaskar,0,India,2026-02-17
99,"Sajni (From ""Laapataa Ladies"") (w/ Arijit Singh, Prashant Pandey)",Ram Sampath,0,India,2026-02-17
100,"Ae Dil Hai Mushkil Title Track (From ""Ae Dil Hai Mushkil"") (w/ Arijit Singh)",Pritam,0,India,2026-02-17
101,"Ishq Hai (w/ Raj Shekhar, Romy, Amarabha Banerjee, Varun Jain, Madhubanti Bagchi, Mismatched - Cast)",Anurag Saikia,0,India,2026-02-17
102,Seet Lehar (w/ Riyaazi),Filmy,0,India,2026-02-17
103,"Tera Hone Laga Hoon (w/ Alisha Chinai, Pritam)",Atif Aslam,0,India,2026-02-17
104,Tum Se Hi (w/ Mohit Chauhan),Pritam,0,India,2026-02-17
105,Samjho Na,Aditya Rikhari,0,India,2026-02-17
106,Piche Tere (w/ Dishant),Kunwarr,0,India,2026-02-17
